,date,ap_daily,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27
46,1950-02-16,4.021,5,6,2,6,12,3,3,3,5,9,5,9,6,7,12,6,5,9,6,6,3,4,7,5,3,3,5
47,1950-02-17,4.01,5,9,5,9,6,7,12,6,5,9,6,6,3,4,7,5,3,3,5,3,5,5,4,5,2,2,2
48,1950-02-18,4.01,5,9,6,6,3,4,7,5,3,3,5,3,5,5,4,5,2,2,2,2,0,2,6,3,6,6,7
49,1950-02-19,6.031,3,3,5,3,5,5,4,5,2,2,2,2,0,2,6,3,6,6,7,5,7,6,4,4,4,4,12
50,1950-02-20,79.187,2,2,2,2,0,2,6,3,6,6,7,5,7,6,4,4,4,4,12,9,12,6,9,15,48,0,36
51,1950-02-21,79.187,6,6,7,5,7,6,4,4,4,4,12,9,12,6,9,15,48,0,36,54,79,94,39,56,39,32,39
52,1950-02-22,26.126,4,4,12,9,12,6,9,15,48,0,36,54,79,94,39,56,39,32,39,32,27,27,18,15,27,39,27
53,1950-02-23,49.167,48,0,36,54,79,94,39,56,39,32,39,32,27,27,18,15,27,39,27,15,7,7,67,80,39,80,94
54,1950-02-24,46.157,39,32,39,32,27,27,18,15,27,39,27,15,7,7,67,80,39,80,94,94,32,56,22,6,5,27,27
55,1950-02-25,17.094,27,39,27,15,7,7,67,80,39,80,94,94,32,56,22,6,5,27,27,39,22,22,22,18,5,5,5
56,1950-02-26,3.0,39,80,94,94,32,56,22,6,5,27,27,39,22,22,22,18,5,5,5,4,3,3,3,2,2,3,2
57,1950-02-27,5.021,5,27,27,39,22,22,22,18,5,5,5,4,3,3,3,2,2,3,2,0,2,3,5,12,3,5,7
58,1950-02-28,12.073,5,5,5,4,3,3,3,2,2,3,2,0,2,3,5,12,3,5,7,5,6,27,22,12,9,7,7
