,date,ap_daily,ap1,ap2,ap3,ap4,apavg1,apavg2
175,1980176,13.073,7,9,7,7,6.0,5.857142857142857
176,1980177,8.052,22,5,6,6,6.142857142857143,6.0
177,1980178,15.094,12,15,9,7,11.142857142857142,6.142857142857143
178,1980179,3.0,18,12,12,5,9.0,11.142857142857142
179,1980180,3.01,5,9,32,18,9.428571428571429,9.0
180,1980181,5.021,5,3,2,2,10.142857142857142,9.428571428571429
181,1980182,8.042,4,3,2,3,3.0,10.142857142857142
182,1980183,5.021,12,9,4,4,3.5714285714285716,3.0
183,1980184,3.01,7,7,6,9,6.571428571428571,3.5714285714285716
184,1980185,4.01,3,6,3,4,6.142857142857143,6.571428571428571
185,1980186,7.042,3,4,5,3,3.5714285714285716,6.142857142857143
186,1980187,15.094,0,4,2,4,4.285714285714286,3.5714285714285716
187,1980188,10.063,12,7,5,15,4.0,4.285714285714286
188,1980189,13.073,7,6,18,18,12.857142857142858,4.0
189,1980190,14.084,9,15,9,12,10.428571428571429,12.857142857142858
190,1980191,8.042,27,9,12,12,13.142857142857142,10.428571428571429
191,1980192,4.01,12,15,22,15,12.0,13.142857142857142
192,1980193,10.063,2,3,7,5,13.428571428571429,12.0
193,1980194,5.021,7,4,6,5,3.5714285714285716,13.428571428571429
194,1980195,9.052,7,12,9,7,5.571428571428571,3.5714285714285716
195,1980196,9.052,9,5,4,9,6.714285714285714,5.571428571428571
196,1980197,6.031,9,4,6,22,7.0,6.714285714285714
197,1980198,6.031,9,9,15,7,8.714285714285714,7.0
198,1980199,6.031,6,7,4,6,8.428571428571429,8.714285714285714
199,1980200,30.136,7,7,5,6,5.571428571428571,8.428571428571429
200,1980201,16.094,15,9,12,4,5.857142857142857,5.571428571428571
201,1980202,9.052,56,11,80,12,8.285714285714286,5.857142857142857
202,1980203,14.084,6,6,5,9,28.857142857142858,8.285714285714286
203,1980204,5.021,15,6,12,18,5.571428571428571,28.857142857142858
204,1980205,4.021,4,15,12,18,10.571428571428571,5.571428571428571
205,1980206,7.031,5,15,4,6,8.142857142857142,10.571428571428571
206,1980207,46.157,4,7,4,6,5.428571428571429,8.142857142857142
207,1980208,26.126,4,9,15,5,4.714285714285714,5.428571428571429
208,1980209,15.084,80,32,94,67,9.142857142857142,4.714285714285714
209,1980210,14.084,18,7,12,18,46.0,9.142857142857142
210,1980211,6.031,22,18,12,9,15.142857142857142,46.0
211,1980212,8.042,3,5,7,18,15.285714285714286,15.142857142857142
212,1980213,6.031,7,6,9,9,6.714285714285714,15.285714285714286
213,1980214,4.01,7,12,9,9,6.714285714285714,6.714285714285714
214,1980215,7.042,4,4,6,4,8.0,6.714285714285714
215,1980216,20.105,2,4,3,3,4.714285714285714,8.0
216,1980217,8.042,27,18,12,7,3.142857142857143,4.714285714285714
217,1980218,4.021,6,5,12,7,20.142857142857142,3.142857142857143
218,1980219,21.115,5,2,4,9,7.571428571428571,20.142857142857142
219,1980220,10.063,27,5,4,4,4.571428571428571,7.571428571428571
220,1980221,4.01,9,15,32,18,10.571428571428571,4.571428571428571
221,1980222,9.052,6,15,12,6,15.285714285714286,10.571428571428571
222,1980223,9.052,5,7,3,4,6.857142857142857,15.285714285714286
223,1980224,8.042,9,9,15,18,4.714285714285714,6.857142857142857
224,1980225,8.052,5,4,6,9,12.571428571428571,4.714285714285714
225,1980226,6.021,32,15,15,7,6.0,12.571428571428571
226,1980227,6.031,6,5,5,4,12.285714285714286,6.0
227,1980228,5.021,4,7,5,7,4.571428571428571,12.285714285714286
228,1980229,26.126,6,4,6,9,5.571428571428571,4.571428571428571
229,1980230,10.063,4,3,4,5,6.0,5.571428571428571
230,1980231,18.105,5,12,27,94,4.285714285714286,6.0
231,1980232,28.126,15,18,22,7,22.428571428571427,4.285714285714286
232,1980233,10.063,27,15,6,7,22.142857142857142,22.428571428571427
233,1980234,8.042,9,22,27,67,12.714285714285714,22.142857142857142
234,1980235,10.063,15,12,22,12,20.714285714285715,12.714285714285714
235,1980236,5.021,5,4,4,4,13.0,20.714285714285715
236,1980237,4.021,9,18,15,9,6.285714285714286,13.0
237,1980238,5.021,7,2,3,3,9.428571428571429,6.285714285714286
238,1980239,12.073,2,2,4,4,4.0,9.428571428571429
239,1980240,22.115,27,18,4,5,2.857142857142857,4.0
240,1980241,4.01,18,18,7,5,12.142857142857142,2.857142857142857
241,1980242,4.021,7,5,15,15,19.428571428571427,12.142857142857142
242,1980243,6.031,2,2,2,5,8.142857142857142,19.428571428571427
243,1980244,7.042,7,15,9,4,2.142857142857143,8.142857142857142
244,1980245,7.042,12,4,6,9,7.857142857142857,2.142857142857143
245,1980246,4.021,18,7,5,3,7.857142857142857,7.857142857142857
246,1980247,12.073,6,4,3,5,8.285714285714286,7.857142857142857
247,1980248,12.073,2,5,2,3,4.571428571428571,8.285714285714286
248,1980249,10.063,32,22,18,27,3.4285714285714284,4.571428571428571
249,1980250,9.052,9,7,12,9,18.0,3.4285714285714284
250,1980251,10.052,7,12,15,15,8.714285714285714,18.0
251,1980252,8.052,15,12,4,18,9.857142857142858,8.714285714285714
252,1980253,12.073,18,18,7,6,10.571428571428571,9.857142857142858
253,1980254,4.021,6,5,4,12,9.857142857142858,10.571428571428571
254,1980255,6.031,9,12,7,27,7.428571428571429,9.857142857142858
255,1980256,18.105,5,6,4,4,9.428571428571429,7.428571428571429
256,1980257,16.094,6,6,5,9,5.0,9.428571428571429
257,1980258,8.052,22,27,15,27,10.857142857142858,5.0
258,1980259,8.042,9,5,7,12,21.142857142857142,10.857142857142858
259,1980260,8.042,12,22,4,3,8.285714285714286,21.142857142857142
260,1980261,14.084,3,9,7,7,8.714285714285714,8.285714285714286
261,1980262,4.021,12,9,18,5,6.428571428571429,8.714285714285714
262,1980263,6.021,3,15,6,9,13.142857142857142,6.428571428571429
263,1980264,7.042,3,5,7,3,7.0,13.142857142857142
264,1980265,2.0,18,12,6,6,4.0,7.0
265,1980266,8.052,2,3,4,6,9.142857142857142,4.0
266,1980267,5.021,0,2,2,3,2.7142857142857144,9.142857142857142
267,1980268,4.01,3,5,7,12,4.0,2.7142857142857144
268,1980269,7.031,2,5,6,4,6.285714285714286,4.0
269,1980270,5.021,6,5,5,5,4.0,6.285714285714286
270,1980271,6.031,3,4,6,6,6.857142857142857,4.0
271,1980272,6.031,3,2,5,4,5.142857142857143,6.857142857142857
272,1980273,9.052,7,7,12,7,4.285714285714286,5.142857142857143
273,1980274,5.021,5,9,6,9,6.428571428571429,4.285714285714286
274,1980275,2.0,9,7,27,9,6.285714285714286,6.428571428571429
275,1980276,5.021,0,2,9,4,9.285714285714286,6.285714285714286
276,1980277,5.021,4,4,3,4,2.5714285714285716,9.285714285714286
277,1980278,26.126,0,0,2,5,4.571428571428571,2.5714285714285716
278,1980279,22.115,15,15,7,7,2.0,4.571428571428571
279,1980280,14.084,39,22,27,48,16.0,2.0
280,1980281,12.073,15,12,12,15,30.428571428571427,16.0
281,1980282,12.073,22,7,9,12,16.571428571428573,30.428571428571427
282,1980283,16.094,6,6,9,7,12.285714285714286,16.571428571428573
283,1980284,22.115,22,15,18,15,8.714285714285714,12.285714285714286
