,Year,Month,Day,Hour,Minute,Second,Lat,Long,V_rel,He,O,N2,O2,Ar,Density,H,N,Anomalous Oxygen,Exospheric Temp,Temp
0,2008.0,6.0,2.0,0.0,0.0,0.0,12.76999999999993,-91.37,7837.992812554402,4618537232327.92,2044323479816461.0,1457177876919304.2,83786221916312.66,826644598361.7816,1.2689157867278663e-10,615222503914.9922,14088539739553.94,0.027170494396970522,684.2839413128958,671.6559828610152
1,2008.0,6.0,2.0,0.0,0.0,13.0,13.667045603581633,-91.5032973853319,7837.890536524926,4541376539638.13,2043608550625401.8,1473075220197023.2,84706818269456.33,843390999087.4487,1.2766213026962123e-10,610330920580.1324,14137508256825.344,0.027864136806654234,684.2439264699448,672.0228184202988
2,2008.0,6.0,2.0,0.0,0.0,26.0,14.56406674491422,-91.63718973162605,7837.781872239054,4465977751572.555,2042151107150430.0,1488522076575411.5,85635955142512.02,860064033420.212,1.2839217785031033e-10,605299155881.6327,14173375529744.607,0.028579808152896683,684.1829666477527,672.3599347815906
3,2008.0,6.0,2.0,0.0,0.0,39.0,15.461061542700044,-91.77172277689783,7837.666926729159,4392063306713.926,2039907855301202.8,1503493011488307.5,86574037068370.34,876640488817.7195,1.290794112320888e-10,600116782499.2611,14196305919426.262,0.029318101844846543,684.1077276600913,672.6720732925635
4,2008.0,6.0,2.0,0.0,0.0,53.0,16.35802805877796,-91.90694363803891,7837.545813219353,4319387625232.7085,2036844653929965.5,1517966757684862.5,87521605945210.19,893114042598.7587,1.2972195898133603e-10,594777843832.3873,14206176010040.59,0.030079618791305048,684.0246408454055,672.9640141343417
5,2008.0,6.0,2.0,0.0,1.0,6.0,17.254964293195535,-92.04290093018233,7837.418651014754,4247714537841.996,2032932972668222.5,1531928223607891.0,88479470213434.72,909485768527.479,1.3031840279338405e-10,589278299139.5277,14202963285093.129,0.030864966448441035,683.9405187135349,673.2410919671837
6,2008.0,6.0,2.0,0.0,1.0,19.0,18.15186817898509,-92.1796448932131,7837.285565384808,4176814101706.636,2028149813695240.8,1545368972128807.5,89448728042205.53,925760796493.6061,1.3086780233453117e-10,583614053787.2191,14186904594871.07,0.03167475774281474,683.8626196931023,673.5092453052589
7,2008.0,6.0,2.0,0.0,1.0,32.0,19.04873757661406,-92.3172275261519,7837.146687440745,4106471135989.07,2022478418440622.5,1558286841226369.5,90430732365601.4,941954013953.7117,1.3136968940863974e-10,577783901426.1992,14158257110522.324,0.03250960986131535,683.7984463854124,673.7748330719984
8,2008.0,6.0,2.0,0.0,1.0,46.0,19.945570268075475,-92.45570273021013,7837.002154007284,4036481683711.987,2015907936768332.8,1570686275441525.5,91427109978311.19,958086529660.1133,1.31824078847239e-10,571787658077.2231,14117449683321.936,0.03337014289948461,683.755818093289,674.0446836293844
9,2008.0,6.0,2.0,0.0,1.0,59.0,20.842363950583298,-92.59512646138768,7836.852107488742,3966655926396.1167,2008433337852229.8,1582578170718095.8,92439749147049.34,974187360578.4169,1.322314563489741e-10,565627432864.2897,14064994333832.635,0.03425697835961707,683.7428043374648,674.326021733308
10,2008.0,6.0,2.0,0.0,2.0,12.0,21.739116229832263,-92.73555689357113,7836.696695729633,3896818484139.0356,2000056216284994.0,1593979594151369.5,93470781334532.64,990290305852.1632,1.325927893974559e-10,559304430529.3336,14001646122309.03,0.035170737490010345,683.7676475447518,674.6263831867493
11,2008.0,6.0,2.0,0.0,2.0,26.0,22.635824612778826,-92.8770545931859,7836.5360718699185,3826811703002.6367,1990783517851596.0,1604913597898020.5,94522572669125.0,1006438490621.5742,1.3290947849544707e-10,552823576722.5522,13928138476858.645,0.036112039456803496,683.838743509299,674.9535778555165
12,2008.0,6.0,2.0,0.0,2.0,39.0,23.532486499894617,-93.0196827065613,7836.370394195035,3756494961797.164,1980627573471477.5,1615408930764066.8,95597710822576.66,1022681400511.3889,1.3318334640160304e-10,546191515668.3331,13845296899104.959,0.037081499339944334,683.9646120391145,675.3156430303428
