,Year,Month,Day,Hour,Minute,Second,Lat,Long,V_rel,He,O,N2,O2,Ar,Density,H,N,Anomalous Oxygen,Exospheric Temp,Temp
0,2010.0,10.0,2.0,0.0,0.0,0.0,12.76999999999993,-91.37,7841.478841549301,9665330780297.707,3167220035994371.0,1913621353632102.2,98692205780413.83,977565470703.6862,1.7886166232494162e-10,534742439436.25073,18187257528833.973,0.0019349619671472356,719.4172072258256,688.2881702742666
1,2010.0,10.0,2.0,0.0,0.0,53.0,16.393301735610795,-91.91196959754649,7841.027979536354,10025091018269.729,3180020996461243.0,1922003820627576.2,99918271929791.97,956287872293.7328,1.7965725571707093e-10,536964587468.8028,18181858136109.01,0.0019497087721231075,719.1023538330857,689.3920218859901
2,2010.0,10.0,2.0,0.0,1.0,47.0,20.01610668306872,-92.46602065023296,7840.478852110471,10474207430708.607,3200808978358786.5,1933643788346523.2,101977872807349.83,928181036759.4152,1.8085713058217258e-10,538635029605.268,18018164318438.355,0.001975764290985461,718.0145787542219,690.1244991654664
3,2010.0,10.0,2.0,0.0,2.0,40.0,23.638270215838773,-93.03566789157196,7839.84027532311,10985046326219.074,3226393049013654.5,1947630770976121.8,104871865114744.34,896597067114.8978,1.8233516072081802e-10,538858016796.47925,17733234594645.81,0.0020131544212033657,716.3101178988435,690.4648598391213
4,2010.0,10.0,2.0,0.0,3.0,34.0,27.25962286577809,-93.6250280242894,7839.122503620136,11517676508327.27,3253030368294469.5,1963056626349141.0,108572055529555.61,865731432481.8248,1.8394962537714716e-10,536874238951.6552,17386663616144.43,0.002061917750304641,714.1849467269299,690.4398145774784
5,2010.0,10.0,2.0,0.0,4.0,27.0,30.879961429270608,-94.23903477745205,7838.337066155398,12021436222834.535,3276726146815480.0,1979147177874814.5,113020368524465.03,839928162913.2948,1.8555697872742462e-10,532137512895.33057,17050453939588.744,0.002122060100374917,711.8663915029265,690.1319296505919
6,2010.0,10.0,2.0,0.0,5.0,21.0,34.49903685019377,-94.88373158400424,7837.496582566981,12440518843476.676,3293617954865779.0,1995337780361806.5,118124659869665.92,823179810762.9658,1.8702506674591302e-10,524362803942.7716,16796784611645.318,0.002193499450645419,709.5975811954498,689.6734919168114
7,2010.0,10.0,2.0,0.0,6.0,14.0,38.11653726389241,-95.56668062321899,7836.614561098181,12722878695069.438,3300349178388466.5,2011297878218825.0,123753047865552.0,818864826052.7272,1.8824368812019927e-10,513560226573.1931,16687676893768.975,0.002276001494258018,707.6214167644345,689.2316409503609
8,2010.0,10.0,2.0,0.0,7.0,8.0,41.73206363755716,-96.29754958586722,7835.70518223621,12830800023724.129,3294436584916029.5,2026909341362652.0,129728650647090.17,829710655720.4679,1.8913300580812392e-10,499999828766.14703,16769307419604.002,0.0023691065864528673,706.1657644933096,688.9887134870754
9,2010.0,10.0,2.0,0.0,8.0,1.0,45.345093806756395,-97.08897638430841,7834.783071286264,12749593468893.004,3274522969803365.0,2042208445331363.2,135826877663551.84,857792493267.4696,1.896473840000131e-10,484173554663.78827,17068123548148.334,0.002472051533538892,705.4300240399914,689.1210547072981
10,2010.0,10.0,2.0,0.0,8.0,55.0,48.95492779045628,-97.95788108748025,7833.863063492429,12491685045099.096,3240539208900824.5,2057312755442986.5,141778357437445.66,904494890875.3827,1.8977641375644153e-10,466697131152.3432,17588260812272.451,0.002583690736190743,705.5744731677008,689.7801867808586
11,2010.0,10.0,2.0,0.0,9.0,49.0,52.56060185361467,-98.9275218902547,7832.959965455655,12093992668098.596,3193705427090906.0,2072346091174407.8,147279592155447.94,970212708835.1057,1.895419023200107e-10,448246216430.24084,18307986208701.676,0.0027024253491517883,706.7103431794953,691.0766073434155
12,2010.0,10.0,2.0,0.0,10.0,42.0,56.160748272282255,-100.03083813384796,7832.088316679352,11610149993733.809,3136414896743865.0,2087391272570263.8,152014130704208.03,1053879526611.8732,1.8899355567446656e-10,429464910792.691,19176296755540.504,0.002826149868368003,708.8943707141233,693.0704492294349
13,2010.0,10.0,2.0,0.0,11.0,36.0,59.75335621771534,-101.31612379108071,7831.262155092582,11100116015170.44,3072002741870565.5,2102471310013303.5,155682946643407.5,1152306794097.6465,1.8820343316335684e-10,410922181410.4862,20111688978851.027,0.0029522292618337272,712.1243766086026,695.7666501425757
14,2010.0,10.0,2.0,0.0,12.0,29.0,63.33534220345537,-102.8571546286775,7830.494790357275,10620950216408.746,3004482921674747.0,2117558240024795.5,158040201273728.7,1259625548579.84,1.872612948854565e-10,393086321473.92474,21007367840185.766,0.0030775191642038063,716.335035157794,699.1139332660529
