,Year,Month,Day,Hour,Minute,Second,Lat,Long,V_rel,He,O,N2,O2,Ar,Density,H,N,Anomalous Oxygen,Exospheric Temp,Temp
0,1990.0,6.0,2.0,0.0,0.0,0.0,12.76999999999993,-91.37,7818.330912536197,5184281290638.87,2076801249089317.0,954740476590507.5,20273080275698.965,439156326727.8423,1.0122832862345973e-10,113395428503.88672,23729441790002.14,573.4262728773094,961.4510192888396,944.4634669364709
1,1990.0,6.0,2.0,0.0,0.0,13.0,13.66704423420534,-91.50372780020939,7818.227316613461,5120749069876.518,2074609361003655.2,964682451191753.1,20488966953924.77,448326646042.50757,1.0164512455200621e-10,112270456328.222,23783504117265.562,597.3555819092685,961.3274836637971,944.7602485890427
2,1990.0,6.0,2.0,0.0,0.0,26.0,14.564064006239215,-91.63805055949535,7818.117249979077,5058409024563.972,2071703058369557.8,974378166174841.1,20708482044632.8,457549138441.1827,1.0203115088989394e-10,111115392599.38013,23813785684752.547,622.9926752634118,961.1737490212203,945.0223895401971
3,1990.0,6.0,2.0,0.0,0.0,40.0,15.461057434812547,-91.77301401566086,7818.000821042255,4996989408494.368,2068043632649725.2,983813418135765.4,20931778907555.12,466815171033.5491,1.0238473206315262e-10,109929046605.02354,23820584776670.94,650.4555195458526,960.9988400746747,945.2566786410088
4,1990.0,6.0,2.0,0.0,0.0,53.0,16.3580225817734,-91.90866528537606,7817.878144483677,4936245660005.207,2063601142439638.0,992976646038433.1,21159045657870.64,476125515334.24176,1.0270453809923844e-10,108711239318.5556,23803652184651.35,679.8708547463191,960.8118493287302,945.4701620573057
5,1990.0,6.0,2.0,0.0,1.0,6.0,17.2549574471787,-92.0450529835432,7817.74934114337,4875936136249.109,2058350117441768.2,1001860060883008.6,21390531832024.65,485481979228.1465,1.029895467375089e-10,107461837923.22073,23763181216857.395,711.3747596479825,960.6225687576178,945.6706994377347
6,1990.0,6.0,2.0,0.0,1.0,20.0,18.15185996407092,-92.18222734980537,7817.614537902541,4815830193562.183,2052270696414862.5,1010459540186197.8,21626543364877.973,494890805310.956,1.0323905972182256e-10,106181251785.56793,23699418709601.914,745.1132421714901,960.4412882804137,945.8667869319985
7,1990.0,6.0,2.0,0.0,1.0,33.0,19.048727992927738,-92.3202403829298,7817.47386755947,4755705566058.111,2045348033683101.5,1018774862958554.2,21867447182945.777,504361143635.3855,1.03452702310702e-10,104870235276.3986,23612846898475.492,781.2428535002806,960.2788527439596,946.0676044306311
8,1990.0,6.0,2.0,0.0,1.0,47.0,19.945559315753307,-92.45914598386139,7817.3274686995865,4695349641003.039,2037572829406959.2,1026809688163732.2,22113669785635.676,513903604103.7031,1.0363044097627916e-10,103529461524.80228,23504389093467.473,819.9313243522554,960.1465764046683,946.2829339062698
9,1990.0,6.0,2.0,0.0,2.0,0.0,20.842351629773002,-92.59900010831905,7817.17548555988,4634563608033.06,2028940869854579.2,1034571523940407.8,22365696294364.543,523533901191.6029,1.0377255833870938e-10,102160392557.1706,23374908597971.71,861.3582212074388,960.0561832546973,946.5230972881544
10,1990.0,6.0,2.0,0.0,2.0,13.0,21.739102540693896,-92.73986092989333,7817.0180678877105,4573162388302.365,2019453981822760.5,1042071558640835.8,22624066525258.324,533268918945.71576,1.038796828211136e-10,100764187010.07986,23225752212845.996,905.7156196655413,960.0196909242387,946.798840934924
11,1990.0,6.0,2.0,0.0,2.0,27.0,22.635809555485235,-92.88178901469587,7816.85537079423,4510976656351.896,2009118749793462.2,1049324643909662.2,22889375753477.777,543130055383.6376,1.0395274210718218e-10,99342692098.74323,23058235549803.047,953.2087913849361,960.0494203775673,947.1213297183217
12,1990.0,6.0,2.0,0.0,2.0,40.0,23.53247007463242,-93.02484750872401,7816.687554602493,4447853415262.145,1997946593896369.0,1056349093521342.2,23162271203420.883,553141545621.4684,1.0399295998141895e-10,97898046630.0978,22873832972016.453,1004.0569002398878,960.1579162476261,947.5020593873085
13,1990.0,6.0,2.0,0.0,2.0,53.0,24.429081383809706,-93.1691023392184,7816.514784690435,4383660392406.5176,1985955280514563.0,1063166177032251.0,23443440787735.266,563329640772.5957,1.0400187664332965e-10,96432011123.92294,22674364865232.19,1058.493702419745,960.3577096303322,947.9526250422156
14,1990.0,6.0,2.0,0.0,3.0,7.0,25.32564064491395,-93.31462243143358,7816.33723132885,4318283264019.7026,1973165976299354.8,1069800228168925.6,23733618781961.35,573724439312.287,1.0398126542804128e-10,94947110502.18651,22461546759641.746,1116.7682441782983,960.6614813967041,948.4848475851826
15,1990.0,6.0,2.0,0.0,3.0,20.0,26.222144886392794,-93.46147994238993,7816.155069514548,4251627970019.804,1959603913424423.5,1076278179847300.0,24033576422136.32,584358417847.1075,1.0393313269075206e-10,93446097606.68811,22237179094878.105,1179.1455498191222,961.0818936641467,949.1106015000476
16,1990.0,6.0,2.0,0.0,3.0,34.0,27.118590992795973,-93.60975051335129,7815.968478798814,4183626037958.359,1945300478155483.5,1082628828589529.2,24344105051093.78,595266397719.0454,1.0385974225173727e-10,91931139037.38799,22003320455284.137,1245.9072912717606,961.63128463113,949.8415173301153
17,1990.0,6.0,2.0,0.0,3.0,47.0,28.014975693467473,-93.75951354296825,7815.777643111371,4114226507131.0967,1930287789628690.8,1088883214420244.5,24666029882898.71,606485626643.9645,1.03763478177715e-10,90405508173.19165,21761789534611.242,1317.3524292734187,962.3220413098107,950.6892957335297
18,1990.0,6.0,2.0,0.0,4.0,0.0,28.91129555029008,-93.9108524832464,7815.58275057999,4043406991151.5986,1914604400882614.5,1095073288210767.5,25000176476354.152,618055839956.459,1.0364694432479392e-10,88871519014.7147,21514671685685.92,1393.7978147230788,963.1659680304736,951.6651143140874
19,1990.0,6.0,2.0,0.0,4.0,14.0,29.80754694438001,-94.06385516075267,7815.3839933459285,3971163953251.3604,1898289163435476.0,1101232353739929.6,25347385923570.152,630018303260.3668,1.0351281142952007e-10,87332352811.93845,21263837817989.656,1475.5787372241102,964.1747116392498,952.7799897464502
20,1990.0,6.0,2.0,0.0,4.0,27.0,30.703726061620827,-94.21861412575515,7815.181567375387,3897516699879.6772,1881383027020959.8,1107394289900838.1,25708495913182.707,642415348153.8097,1.0336383199805019e-10,85791283877.8182,21011127338141.66,1563.0494061858208,965.3594708876097,954.0444932299267
21,1990.0,6.0,2.0,0.0,4.0,40.0,31.599828876908898,-94.37522703231764,7814.975672267135,3822512140752.212,1863931898865105.8,1113592669828823.4,26084317732741.668,655292459517.1941,1.0320287769614766e-10,84250659332.64983,20758496327989.055,1656.5833481239804,966.7306543815615,955.4684187719014
22,1990.0,6.0,2.0,0.0,4.0,54.0,32.495851136970316,-94.5337970527379,7814.766511056532,3746214266416.107,1845980087311842.5,1119861210768357.0,26475650464291.88,668694572982.598,1.0303277800079871e-10,82713741574.50493,20507649115047.33,1756.5737020034392,968.2983054973861,957.0611486053682
23,1990.0,6.0,2.0,0.0,5.0,7.0,33.391788341588466,-94.6944333301405,7814.554290016091,3668708196978.065,1827572759031698.8,1126232932112054.8,26883257764328.78,682666662704.0701,1.0285634920127134e-10,81183803299.85936,20260212152969.508,1863.433392620483,970.0717733938828,958.8313358767118
24,1990.0,6.0,2.0,0.0,5.0,21.0,34.28763572306457,-94.85725147351422,7814.339218452814,3590103420211.3403,1808759044127237.5,1132739364619059.5,27307844477684.94,697257619217.7903,1.0267644220126397e-10,79663016990.22334,20017865312458.77,1977.5951601582574,972.0594103228356,960.7866119857044
25,1990.0,6.0,2.0,0.0,5.0,34.0,35.183388223706466,-95.02237410003704,7814.121508502471,3510521711825.0146,1789583775056691.8,1139411138725963.2,27750072761526.555,712511519066.45,1.0249574229359129e-10,78154876279.26817,19781982309953.48,2099.5114221943995,974.2690495603898,962.9340049633298
26,1990.0,6.0,2.0,0.0,5.0,47.0,36.079040471118525,-95.18993143016246,7813.901374921034,3430106880717.83,1770096171733360.5,1146276623109210.0,28210519790982.973,728478027896.2487,1.0231694391888959e-10,76661340783.61389,19554011861981.617,2229.653942639196,976.7073530297091,965.2793326363538
