,Year,Month,Day,Hour,Minute,Second,Lat,Long,V_rel,He,O,N2,O2,Ar,Density,H,N,Anomalous Oxygen,Exospheric Temp,Temp
0,1990.0,6.0,2.0,0.0,0.0,0.0,12.76999999999993,-91.37,7821.212574419626,5315242897737.912,2285224791555837.0,1126149163058513.5,24578224868764.082,555555220632.0807,1.150104893582389e-10,115082439293.28723,25539473932323.87,173.58883641900033,961.4510192888396,941.7773472750987
1,1990.0,6.0,2.0,0.0,0.0,13.0,13.666948821603667,-91.50365015629177,7821.109184596422,5249908405480.999,2282633997844186.0,1137761022539531.0,24837267987725.336,567081257526.5239,1.1549680478667543e-10,113938938996.23436,25596173616075.27,180.8223671886776,961.3274961218133,942.1217447667509
2,1990.0,6.0,2.0,0.0,0.0,26.0,14.563873186437506,-91.63789514028451,7820.999337592177,5185806330925.704,2279266615936485.0,1149087776321117.5,25100840443439.027,578675677605.2494,1.1594890496311286e-10,112764927665.80638,25627459004668.72,188.57131933836567,961.1737791068567,942.4314495007332
3,1990.0,6.0,2.0,0.0,0.0,40.0,15.460771213821593,-91.77278067497429,7820.883141577371,5122657817374.755,2275079295770704.5,1160111942285045.5,25369105614330.285,590327066476.1686,1.163648392948282e-10,111559213318.04652,25633643636000.465,196.87123257527392,960.9988900866059,942.7129790454464
4,1990.0,6.0,2.0,0.0,0.0,53.0,16.35764096623809,-91.90835386161297,7820.760710979551,5060211849296.114,2270038245712952.5,1170819042470098.0,25642266361461.42,602035798848.8308,1.1674304012392515e-10,110321628033.78258,25614454261304.527,205.76028411261115,960.811918412613,942.9731209897961
5,1990.0,6.0,2.0,0.0,1.0,6.0,17.254480444406347,-92.04466329900771,7820.632166371463,4998220329924.439,2264114401476451.5,1181198829486063.2,25920594580127.164,613803368664.2089,1.17082276698853e-10,109052049773.38593,25570088810552.69,215.27945812054,960.6226526646084,943.2194804049557
6,1990.0,6.0,2.0,0.0,1.0,20.0,18.151287582061663,-92.18175920995958,7820.497634353181,4936446378787.393,2257284713257519.0,1191245187416169.0,26204425616476.246,625636696129.8706,1.1738167514043596e-10,107750904791.86424,25500800748080.25,225.4727225924065,960.4413791331453,943.460306539902
7,1990.0,6.0,2.0,0.0,1.0,33.0,19.048060240408763,-92.31969357557176,7820.357247428287,4874661641425.675,2249531488333550.0,1200956395673850.8,26494163322343.586,637546176725.0428,1.1764071788717115e-10,106418967826.08379,25407093610516.03,236.38721327237616,960.2789388397484,943.7045396548076
8,1990.0,6.0,2.0,0.0,1.0,46.0,19.94479620221589,-92.45852027822093,7820.2111438742795,4812647604320.988,2240842995895221.2,1210335115724281.0,26790278426157.383,649543850217.0605,1.178592640602725e-10,105056930239.13972,25289941229865.363,248.0734241456726,960.1466420810664,943.961730810777
9,1990.0,6.0,2.0,0.0,2.0,0.0,20.84149316551365,-92.59829525406661,7820.059467607282,4750199991842.142,2231213248554532.5,1219388332945918.2,27093306503626.305,661647437647.6658,1.180375304691302e-10,103666123223.81085,25150328190735.465,260.5854038254782,960.0561897842032,944.2419637852338
10,1990.0,6.0,2.0,0.0,2.0,13.0,21.738148736859053,-92.7390766560519,7819.902368041231,4687128029266.725,2220641751647668.8,1228127341734936.5,27403847956896.99,673878210578.2869,1.1817608879713257e-10,102248202947.7362,24989451409065.074,273.9809569795376,960.0196522922635,944.5558241589572
11,1990.0,6.0,2.0,0.0,2.0,26.0,22.63476042412054,-92.88092502845046,7819.73999994162,4623257872682.136,2209134769782521.8,1236567405777440.8,27722559823787.875,686259533938.4338,1.1827588781866695e-10,100804572120.94705,24808930032282.844,288.32184972260853,960.0492894857541,944.914225919922
12,1990.0,6.0,2.0,0.0,2.0,40.0,23.531325628736614,-93.02390349411678,7819.572523273998,4558432652537.299,2196703324073256.5,1244727786018187.5,28050158408666.223,698820066450.0376,1.1833819067787258e-10,99337356879.96388,24610324288109.297,303.67401765623083,960.1576162546662,945.3284513160731
13,1990.0,6.0,2.0,0.0,2.0,53.0,24.42784163739352,-93.16807795572106,7819.400103047316,4492513713391.438,2183363515097161.2,1252631423164530.0,28387413041399.79,711591699284.8462,1.18364572984593e-10,97848958633.71307,24395339285934.367,320.1077749635199,960.3572930260526,945.8100349432568
14,1990.0,6.0,2.0,0.0,3.0,7.0,25.324305613064613,-93.31351731238453,7819.222909152312,4425385561060.468,2169138461591639.5,1260304296318293.8,28735131171590.176,724608833780.2476,1.1835694824164623e-10,96341325908.04726,24166020988538.402,337.6980226621541,960.6608631497177,946.3705095295795
15,1990.0,6.0,2.0,0.0,3.0,20.0,26.22071458534484,-93.46029369328267,7819.041116195058,4356950327411.293,2154053626071889.0,1267775696568407.8,29094169451341.754,737910116152.0731,1.1831744427944856e-10,94817455143.91331,23924205437275.598,356.524453782347,961.0810293138808,947.0216281492369
16,1990.0,6.0,2.0,0.0,3.0,33.0,27.11706544000851,-93.60848270996166,7818.854903325843,4287137217815.96,2138141903595685.5,1275077034332619.8,29465403800685.617,751536646889.805,1.1824849441132603e-10,93279543960.35442,23672081653582.703,376.67175286806804,961.6301260158248,947.7748721944856
