,Year,Month,Day,Hour,Minute,Second,Lat,Long,V_rel,He,O,N2,O2,Ar,Density,H,N,Anomalous Oxygen,Exospheric Temp,Temp
0,2008.0,10.0,2.0,0.0,0.0,0.0,12.76999999999993,-91.37,7835.671517081149,10077112788928.445,2420759571204751.0,1153974311910992.5,61625935323127.33,485454130042.5023,1.2165892352587853e-10,624120187756.8986,15192400603610.52,0.07694164297460927,686.4122449271564,669.0403569565923
1,2008.0,10.0,2.0,0.0,0.0,17.0,13.966009285163892,-91.5479204109007,7835.533521290896,10152263269330.629,2420081827084575.5,1156992919388440.5,62036377255395.414,485135121186.8061,1.218021474500553e-10,622240900829.5162,15133990949100.852,0.07688344349621846,686.524221701289,669.4317121949033
2,2008.0,10.0,2.0,0.0,0.0,35.0,15.16197397518075,-91.7269254365662,7835.384215280605,10232444995716.584,2419669129128838.5,1160476069653517.5,62527328872871.766,485116253731.672,1.2197790208644947e-10,620190723660.6931,15057053310863.11,0.07686072030548746,686.6062837595957,669.8218285755445
3,2008.0,10.0,2.0,0.0,0.0,53.0,16.35788954413465,-91.90712510661723,7835.223860464597,10316682353327.207,2419434310281963.0,1164428606925993.5,63101752200644.48,485422132522.23895,1.2218426237388063e-10,617953089847.0568,14962124071366.844,0.0768733741730333,686.672064854916,670.2185380949769
4,2008.0,10.0,2.0,0.0,1.0,10.0,17.553751276023217,-92.08863405978616,7835.052737618758,10403927281158.225,2419290961194870.0,1168854132155424.0,63762550478143.836,486086340182.438,1.2241925798142915e-10,615516242924.9852,14849541351637.264,0.07692131821680087,686.7353262321599,670.6298555192691
5,2008.0,10.0,2.0,0.0,1.0,28.0,18.74955424294505,-92.2715720721904,7834.871146392415,10493004882401.33,2419149402473055.0,1173756659833016.5,64512674510564.05,487143718914.77905,1.2268085998034587e-10,612869435789.012,14719955809091.656,0.07700447443110184,686.8104411589655,671.0644549789565
6,2008.0,10.0,2.0,0.0,1.0,46.0,19.945293281451818,-92.45606462990901,7834.679404787284,10582623865697.271,2418917433315399.0,1179140915747860.5,65355137979307.54,488632008131.83234,1.2296701218716535e-10,610005418482.9408,14574185373669.307,0.07712276998360405,686.9122779353532,671.5316460875974
7,2008.0,10.0,2.0,0.0,2.0,4.0,21.140962966812744,-92.64224355193517,7834.477848604347,10671375113794.832,2418501481637923.5,1185012550435656.5,66293025544190.15,490588803042.86224,1.2327567712074318e-10,606916732713.0917,14413442264599.975,0.07727613327968813,687.0560721819181,672.0413257875463
8,2008.0,10.0,2.0,0.0,2.0,21.0,22.336557584906583,-92.83024767036238,7834.266830859603,10757754323342.887,2417807842255040.0,1191378142486145.8,67329484682524.17,493053744668.7269,1.2360486435395015e-10,603598272402.7485,14239137008578.596,0.0774644897937514,687.2572412175055,672.6038653001791
9,2008.0,10.0,2.0,0.0,2.0,39.0,23.53207110141773,-93.02022357558604,7834.046721169679,10840179740893.607,2416744284461392.0,1198245078795113.0,68467706305694.805,496067755509.96265,1.2395266776886734e-10,600045578921.7456,14052925305981.871,0.07768775766739651,687.5311861897545,673.2299687371916
10,2008.0,10.0,2.0,0.0,2.0,57.0,24.727497127968068,-93.2123264353761,7833.817905108357,10917007140930.17,2415218944752037.0,1205621842105048.5,69710930975386.234,499674246633.6717,1.2431724517098782e-10,596259564755.5529,13856498952185.062,0.07794584307521168,687.8933082577907,673.9306933299965
11,2008.0,10.0,2.0,0.0,3.0,14.0,25.92282888476384,-93.40672089793645,7833.580783535081,10986564814002.654,2413144300805279.5,1213517190050161.0,71062373502431.86,503917176126.91693,1.2469688665410454e-10,592239759758.0172,13651796121973.465,0.07823863535997555,688.3585982089222,674.7170977068361
12,2008.0,10.0,2.0,0.0,3.0,32.0,27.118059159274775,-93.6035820905451,7833.335771896615,11047183084780.604,2410437162017030.5,1221940005342937.8,72525188738818.94,508842379127.793,1.2509000179436372e-10,587987072829.5238,13440826542497.076,0.07856600194061146,688.9415591568238,675.6001524880105
