,Year,Month,Day,Hour,Minute,Second,Lat,Long,V_rel,He,O,N2,O2,Ar,Density,H,N,Anomalous Oxygen,Exospheric Temp,Temp
0,2010.0,10.0,2.0,0.0,0.0,0.0,12.76999999999993,-91.37,7812.577664944743,6922584004188.572,877143390186575.5,208149364834079.47,8142684949354.504,41480268758.28993,3.362234058920269e-11,432469718965.6437,7256974891681.075,3407.2087955729226,719.4172072258256,712.996205989622
1,2010.0,10.0,2.0,0.0,0.0,17.0,13.966006482846245,-91.54859580499294,7812.437573983346,7002192889706.336,878701542900748.6,208624113938691.2,8177905812028.903,41278573546.86873,3.368848586309705e-11,433264327862.21185,7270182194165.624,3416.518586152756,719.4050536241027,713.1217850375035
2,2010.0,10.0,2.0,0.0,0.0,35.0,15.16196837076495,-91.72827621941354,7812.286001055044,7089880082793.915,880505293073034.9,209115100311631.94,8219177801251.772,41028395032.113884,3.3762083504460125e-11,434081610473.9203,7274899677276.287,3428.257580707139,719.2999194970481,713.1705363737387
3,2010.0,10.0,2.0,0.0,0.0,53.0,16.35788113787256,-91.9091512720936,7812.123211530179,7185149374759.1,882525975484245.4,209618885987396.5,8266587654119.661,40732281445.77618,3.384222129151876e-11,434890565134.5832,7271449746198.292,3442.4274253411563,719.1066062286634,713.1448626905857
4,2010.0,10.0,2.0,0.0,1.0,11.0,17.553740068201062,-92.09133560093062,7811.949490434029,7287503609141.19,884732961757587.9,210130991841588.8,8320149446096.349,40393960900.41862,3.392787931482728e-11,435661537301.7798,7260009898952.549,3459.0315081490457,718.8292556957227,713.0465469314864
5,2010.0,10.0,2.0,0.0,1.0,29.0,18.749540233885565,-92.27494898115549,7811.765141951392,7396344703558.951,887093309688471.4,210646986441112.78,8379852685474.303,40018082706.170204,3.401798030439656e-11,436365256620.3094,7240920773930.1,3478.074715221022,718.4726145663831,712.8779649867657
6,2010.0,10.0,2.0,0.0,1.0,47.0,19.9452764715167,-92.46011689790151,7811.570488897731,7510963419992.531,889572141530044.5,211162667073994.38,8445668016724.694,39610106538.18605,3.4111408682527194e-11,436973004197.48694,7214701784495.641,3499.563165314156,718.0420813853608,712.642175830106
7,2010.0,10.0,2.0,0.0,2.0,5.0,21.140943356405295,-92.64697116914886,7811.365872157776,7630537517490.838,892133069466962.2,211674167324141.6,8517549541315.889,39176185663.62089,3.4207026650871304e-11,437456933967.611,7182037461850.135,3523.5039219931755,717.5436597557391,712.342919368907
8,2010.0,10.0,2.0,0.0,2.0,23.0,22.336535174474974,-92.83565062590242,7811.15165009253,7754131871808.105,894738635840483.5,212178055361568.66,8595436834807.023,38723036488.35486,3.430369013323586e-11,437790395217.8798,7143759472214.612,3549.9046820321846,716.9839072468587,711.9846035566776
9,2010.0,10.0,2.0,0.0,2.0,40.0,23.532045891458456,-93.02630185738349,7810.928197915673,7880701020985.347,897350763088891.6,212671420514610.34,8679256615604.347,38257800621.144226,3.440026434941846e-11,437948250043.3604,7100825215225.499,3578.7734388856347,716.3698806786805,711.572280785667
