,Year,Month,Day,Hour,Minute,Second,Lat,Long,V_rel,He,O,N2,O2,Ar,Density,H,N,Anomalous Oxygen,Exospheric Temp,Temp
0,1990.0,6.0,2.0,0.0,0.0,0.0,12.76999999999993,-91.37,7812.577664944743,4936826537876.45,1719157922708250.2,688351755522759.5,13862147266942.656,275584953565.802,7.891631154066652e-11,110623849799.25883,20364339470679.445,4984.621125875423,961.4510192888396,948.7770708775992
1,1990.0,6.0,2.0,0.0,0.0,13.0,13.666962347673735,-91.50384241840538,7812.473688647814,4876651451521.227,1717565885290260.0,695631807910260.5,14012171770754.367,281398284427.74475,7.922148113641852e-11,109530105546.46872,20412676216803.305,5193.110898050327,961.327501237269,948.9912526626194
2,1990.0,6.0,2.0,0.0,0.0,26.0,14.563900237811866,-91.63827968313507,7812.363218438361,4817593682001.912,1715368788887914.0,702727452910170.1,14164518940913.229,287241495662.7643,7.950166169227434e-11,108406936714.1084,20440352372197.254,5416.518526916589,961.1737893824906,949.1710306475616
3,1990.0,6.0,2.0,0.0,0.0,40.0,15.460811789648224,-91.77335751928405,7812.2463631020055,4759395376807.547,1712536022345867.2,709629492024323.9,14319321288613.105,293109724885.5983,7.975562392702667e-11,107253157252.59535,20447638816837.562,5655.877491888451,960.9989061765738,949.3236544180648
4,1990.0,6.0,2.0,0.0,0.0,53.0,16.357695065575093,-91.90912303028983,7812.123237717137,4701824610151.23,1709044354136252.2,716330768169422.4,14476738050278.393,299004119798.6495,7.998242044456586e-11,106068572056.22786,20434333311780.723,5912.298408450234,960.8119416281396,949.4566054798388
5,1990.0,6.0,2.0,0.0,1.0,7.0,17.25454806621779,-92.04562481724088,7811.993963542434,4644652362352.508,1704874537050684.8,722827112073351.6,14636976618892.512,304926671717.10236,8.018136017080262e-11,104853032885.32533,20400620518453.613,6186.97402564358,960.622685000553,949.5781683448357
6,1990.0,6.0,2.0,0.0,1.0,20.0,18.15136872521352,-92.18291310532578,7811.8586678983065,4587660710654.728,1700012184970900.8,729117224017516.4,14800288287178.332,310882670184.3516,8.035201689391997e-11,103607034998.17128,20346674304935.06,6481.18444693766,960.4414166948582,949.6972413926811
7,1990.0,6.0,2.0,0.0,1.0,33.0,19.048154903663942,-92.32103987815145,7811.717484042389,4530637706461.825,1694447329173298.8,735202902169812.0,14966973043122.857,316878105010.14594,8.049423873820443e-11,102330966630.53558,20273113791302.89,6796.302564738861,960.2789983182705,949.8234151355705
8,1990.0,6.0,2.0,0.0,1.0,47.0,19.944904384228874,-92.4600590207267,7811.570551039208,4473383826796.418,1688174737377610.8,741088924004026.1,15137376336808.402,322922073384.4339,8.060814142457351e-11,101025807678.38889,20180584508707.887,7133.799694578485,960.1467210744127,949.9668281709883
9,1990.0,6.0,2.0,0.0,2.0,0.0,20.841614864824976,-92.60002647198343,7811.418013624132,4415710652168.385,1681193585204877.8,746783097073500.1,15311890559410.316,329025756079.78644,8.069410566233157e-11,99692865061.38394,20069920039059.97,7495.251390139006,960.0563122293748,950.1381643503244
10,1990.0,6.0,2.0,0.0,2.0,14.0,21.738283951888643,-92.7410003877917,7811.260022061751,4357443398132.502,1673508153969832.0,752296065018897.9,15490950948688.074,335201596690.02106,8.075279041672443e-11,98333262249.68791,19942314432610.176,7882.3434146948275,960.0197860051788,950.3485054287354
11,1990.0,6.0,2.0,0.0,2.0,27.0,22.63490915316091,-92.88304131552042,7811.096731998808,4298421767109.167,1665126429226287.5,757641350287086.5,15675037873342.35,341465308539.8084,8.078508750833798e-11,96948979984.13037,19798873605190.72,8296.877838192813,960.0494961153652,950.609366231352
12,1990.0,6.0,2.0,0.0,2.0,40.0,23.531487869945153,-93.02621238130462,7810.928304311821,4238503150212.6157,1656061752987019.2,762834932384240.1,15864667901765.592,347833684704.97595,8.079215625093134e-11,95541556330.12721,19641086870460.62,8740.7792220208,960.1578750475774,950.9324405696789
13,1990.0,6.0,2.0,0.0,2.0,54.0,24.428017388784202,-93.17057949129719,7810.754904949558,4177561401657.6655,1646330720441067.0,767895324905386.6,16060397739527.033,354326323550.04584,8.077536095463321e-11,94113254588.39648,19470373777929.72,9216.10084546808,960.3575591064642,951.3296998720809
14,1990.0,6.0,2.0,0.0,3.0,7.0,25.32449487249873,-93.31621154832374,7810.5767047704885,4115488495412.571,1635953495452954.0,772843260651430.9,16262818634428.428,360964631915.84247,8.073626813460273e-11,92666584878.96892,19288248396440.094,9725.030918921564,960.6612491458417,951.8132481188969
15,1990.0,6.0,2.0,0.0,3.0,21.0,26.220917350521205,-93.4631806855067,7810.393879375401,4052199342521.1943,1624955287005703.0,777701134449534.0,16472544663226.453,367771579919.20807,8.067666278696173e-11,91203553674.84787,19096472802291.574,10269.898718928263,961.0814251191393,952.3950400928533
16,1990.0,6.0,2.0,0.0,3.0,34.0,27.117281708452275,-93.61156251860439,7810.206608935311,3987625343965.609,1613362396474436.5,782493298514841.4,16690222932796.96,374772253678.70044,8.059844745051394e-11,89727216332.1901,18896617292839.977,10853.180569375321,961.6306728008678,953.0871645511272
17,1990.0,6.0,2.0,0.0,3.0,47.0,28.013584676759837,-93.76143641900029,7810.015078014848,3921724037420.3555,1601206297455182.8,787245036197289.6,16916509799468.506,381993300205.7056,8.050371201141939e-11,88239773871.8416,18690507196436.81,11477.505581180096,962.3211008660506,953.9012864543839
18,1990.0,6.0,2.0,0.0,4.0,1.0,28.90982281853033,-93.91288580950243,7809.819475391283,3854470931912.2266,1588519065559759.5,791982915836475.9,17152082508148.744,389462903783.179,8.039461939458961e-11,86744258033.34692,18479795315950.066,12145.66105005762,963.164726546287,954.8489848739866
19,1990.0,6.0,2.0,0.0,4.0,14.0,29.805992516171234,-94.06599848536285,7809.619993869378,3785863093118.5264,1575334592199453.8,796734190540771.8,17397626007827.807,397210289954.89154,8.027341290964555e-11,85243819346.27783,18266121859971.74,12860.597398185673,964.173204805418,955.9414839797298
20,1990.0,6.0,2.0,0.0,4.0,28.0,30.70208995695326,-94.22086696321128,7809.416830092216,3715923941615.0596,1561690756672664.2,801526073664266.5,17653815727832.7,405266673217.28595,8.014244252330198e-11,83740764493.96852,18051246943004.51,13625.432530976599,965.3574842860817,957.1893153871912
21,1990.0,6.0,2.0,0.0,4.0,41.0,31.598111117265873,-94.37758886092115,7809.210184348218,3644692188790.32,1547623460207101.0,806386253993455.5,17921332834292.547,413663092002.32794,8.00040221149484e-11,82238602801.12836,17836670591703.918,14443.455464793315,966.7283025849008,958.602760468956
22,1990.0,6.0,2.0,0.0,4.0,54.0,32.49405174544393,-94.53626731179423,7809.000260374516,3572233401089.176,1533172784584503.5,811341594612631.6,18200830495451.082,422433041555.0305,7.986054012661902e-11,80739591437.22763,17624024228780.33,15318.129065450612,968.2954504519685,960.1911504257964
